区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,2391400G1164,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＮＫ」,高田製薬,後発品,,,"1,978",,
注射薬,2391400G1172,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＡＦＰ」,大興製薬,後発品,,,"1,632",,
注射薬,2391400G1180,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＦＦＰ」,シオノケミカル,後発品,,,"1,632",,
注射薬,2391400G1199,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「テバ」,武田テバファーマ,後発品,,,"1,978",,
注射薬,2391400G1202,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「テルモ」,テルモ,後発品,,,"1,978",,
注射薬,2391400G2020,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１筒,,,,グラニセトロン静注液３ｍｇシリンジ「ＮＫ」,沢井製薬,後発品,,,"1,978",,
注射薬,2391400G2039,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１筒,,,,グラニセトロン静注液３ｍｇシリンジ「サワイ」,メディサ新薬,後発品,,,"1,978",,
注射薬,2391400G3027,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１筒,,,,グラニセトロン静注液１ｍｇシリンジ「ＮＫ」,沢井製薬,後発品,,,"1,109",,
注射薬,2391400G3035,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１筒,,,,グラニセトロン静注液１ｍｇシリンジ「サワイ」,メディサ新薬,後発品,,,"1,109",,
注射薬,2391400G4023,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,カイトリル点滴静注バッグ３ｍｇ／５０ｍＬ,中外製薬,,先発品,○,"3,544",,
注射薬,2391400G4031,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＨＫ」,光製薬,後発品,,,"1,978",,
注射薬,2391400G4040,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「マイラン」,マイラン製薬,後発品,,,"1,632",,
注射薬,2391400G4058,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＮＫ」,高田製薬,後発品,,,"1,978",,
注射薬,2391400G4066,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＡＦＰ」,大興製薬,後発品,,,"1,632",,
注射薬,2391400G4074,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＦＦＰ」,シオノケミカル,後発品,,,"1,978",,
注射薬,2391400G4082,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「テバ」,武田テバファーマ,後発品,,,"1,632",,
注射薬,2391400G4090,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「テルモ」,テルモ,後発品,,,"1,632",,
注射薬,2391400G5020,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＦＦＰ」,シオノケミカル,後発品,,,"1,109",,
注射薬,2391400G5038,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「テバ」,武田テバファーマ,後発品,,,"1,109",,
注射薬,2391400G5046,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「テルモ」,テルモ,後発品,,,"1,109",,
注射薬,2391400G5054,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＨＫ」,光製薬,後発品,,,"1,109",,
注射薬,2391401A1026,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１管,,,,ゾフラン注４,ノバルティス　ファーマ,,先発品,○,"3,897",,
注射薬,2391401A1034,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１管,,,,オンダンセトロン注射液４ｍｇ「Ｆ」,富士製薬工業,後発品,,,"1,647",,
注射薬,2391401A1042,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１管,,,,オンダンセトロン注射液４ｍｇ「サワイ」,沢井製薬,後発品,,,"2,227",,
注射薬,2391401A1050,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１管,,,,オンダンセトロン注射液４ｍｇ「サンド」,サンド,後発品,,,"2,227",,
注射薬,2391401A2022,オンダンセトロン塩酸塩水和物,２ｍｇ１ｍＬ１管,,,,ゾフラン注２,ノバルティス　ファーマ,,先発品,○,"2,615",,
注射薬,2391401A2030,オンダンセトロン塩酸塩水和物,２ｍｇ１ｍＬ１管,,,,オンダンセトロン注射液２ｍｇ「Ｆ」,富士製薬工業,後発品,,,801,,
注射薬,2391401A2049,オンダンセトロン塩酸塩水和物,２ｍｇ１ｍＬ１管,,,,オンダンセトロン注射液２ｍｇ「サワイ」,沢井製薬,後発品,,,"1,998",,
注射薬,2391401A2057,オンダンセトロン塩酸塩水和物,２ｍｇ１ｍＬ１管,,,,オンダンセトロン注射液２ｍｇ「サンド」,サンド,後発品,,,801,,
注射薬,2391401G1029,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１筒,,,,オンダンセトロン注４ｍｇシリンジ「ＨＫ」,光製薬,後発品,,,"3,581",,
注射薬,2391402A1039,アザセトロン塩酸塩,１０ｍｇ２ｍＬ１管,,,,セロトーン静注液１０ｍｇ,日本たばこ産業,,先発品,○,"3,863",,
注射薬,2391402A1047,アザセトロン塩酸塩,１０ｍｇ２ｍＬ１管,,,,アザセトロン塩酸塩静注液１０ｍｇ「ＳＮ」,シオノケミカル,後発品,,,"3,495",,
注射薬,2391402A1055,アザセトロン塩酸塩,１０ｍｇ２ｍＬ１管,,,,アザセトロン塩酸塩静注液１０ｍｇ「タイヨー」,武田テバファーマ,後発品,,,"3,495",,
注射薬,2391403A1025,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,,,,ナゼア注射液０．３ｍｇ,アステラス製薬,,先発品,○,"4,345",,
注射薬,2391403A1033,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,,,,ラモセトロン塩酸塩注射液０．３ｍｇ「ＥＭＥＣ」,高田製薬,後発品,,,"1,957",,
注射薬,2391403A1041,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,,,,ラモセトロン塩酸塩静注液０．３ｍｇ「Ｆ」,富士製薬工業,後発品,,,"1,957",,
注射薬,2391403A1068,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,,,,ラモセトロン塩酸塩静注液０．３ｍｇ「タイヨー」,武田テバファーマ,後発品,,,"2,318",,
注射薬,2391403A1076,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,,,,ラモセトロン塩酸塩静注液０．３ｍｇ「ファイザー」,マイラン製薬,後発品,,,"1,957",,
注射薬,2391403G1028,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１筒,,,,ラモセトロン塩酸塩静注液０．３ｍｇシリンジ「サンド」,サンド,後発品,,,"3,099",,
注射薬,2391403G1036,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１筒,,,,ラモセトロン塩酸塩静注液０．３ｍｇシリンジ「Ｆ」,富士製薬工業,後発品,,,"3,099",,
注射薬,2391404A1020,パロノセトロン塩酸塩,０．７５ｍｇ５ｍＬ１瓶,,,,アロキシ静注０．７５ｍｇ,大鵬薬品工業,,先発品,,"14,937",,
注射薬,2391404G1022,パロノセトロン塩酸塩,０．７５ｍｇ５０ｍＬ１袋,,,,アロキシ点滴静注バッグ０．７５ｍｇ,大鵬薬品工業,,先発品,,"15,050",,
注射薬,2391405D1020,ホスアプレピタントメグルミン,１５０ｍｇ１瓶,,,,プロイメンド点滴静注用１５０ｍｇ,小野薬品工業,,先発品,,"14,705",,
注射薬,2399401A1083,メトクロプラミド,０．５％２ｍＬ１管,,,,プリンペラン注射液１０ｍｇ,アステラス製薬,,,,57,,
注射薬,2399401A1105,メトクロプラミド,０．５％２ｍＬ１管,,,,エリーテン注１０ｍｇ／２ｍＬ,高田製薬,後発品,,,56,,
注射薬,2399401A1113,メトクロプラミド,０．５％２ｍＬ１管,,,,テルペラン注射液１０ｍｇ,あすか製薬,後発品,,,56,,
注射薬,2399401A1130,メトクロプラミド,０．５％２ｍＬ１管,,,,メトクロプラミド注１０ｍｇ「テバ」,武田テバファーマ,後発品,,,56,,
注射薬,2399402F1026,インフリキシマブ（遺伝子組換え）,１００ｍｇ１瓶,,,,レミケード点滴静注用１００,田辺三菱製薬,,先発品,○,"83,243",,
注射薬,2399403F1039,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続１］,１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「ＮＫ」,日本化薬,後発品,,,"56,382",,
注射薬,2399403F1047,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続１］,１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「ＣＴＨ」,Ｃｅｌｌｔｒｉｏｎ,後発品,,,"56,382",,H29.11.29収載
注射薬,2399404F1025,インフリキシマブ（遺伝子組換え）[インフリキシマブ後続２],１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「あゆみ」,ヤクハン製薬,後発品,,,"56,382",,H29.11.29収載
注射薬,2399404F1033,インフリキシマブ（遺伝子組換え）[インフリキシマブ後続２],１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「日医工」,日医工,後発品,,,"56,382",,H29.11.29収載
注射薬,2411400D1022,テトラコサクチド酢酸塩,０．２５ｍｇ１管,,,,コートロシン注射用０．２５ｍｇ,第一三共,,先発品,,"1,338",,
注射薬,2411401A2035,酢酸テトラコサクチド亜鉛,０．５ｍｇ１管,,,,コートロシンＺ筋注０．５ｍｇ,第一三共,,先発品,,"2,009",,
注射薬,2412402A2029,ソマトロピン（遺伝子組換え）,１０ｍｇ１筒,,,,ノルディトロピンＳ注１０ｍｇ,ノボ　ノルディスク　ファーマ,,先発品,,"57,159",,
注射薬,2412402A3025,ソマトロピン（遺伝子組換え）,５ｍｇ１筒,,,,ソマトロピンＢＳ皮下注５ｍｇ「サンド」,サンド,後発品,,,"19,875",H30.3.31まで,
注射薬,2412402A3033,ソマトロピン（遺伝子組換え）,５ｍｇ１筒,,,,ソマトロピンＢＳ皮下注５ｍｇ「サンド」シュアパル,サンド,後発品,,,"19,875",,
注射薬,2412402A4021,ソマトロピン（遺伝子組換え）,１０ｍｇ１筒,,,,ソマトロピンＢＳ皮下注１０ｍｇ「サンド」,サンド,後発品,,,"36,592",H30.3.31まで,
注射薬,2412402A4030,ソマトロピン（遺伝子組換え）,１０ｍｇ１筒,,,,ソマトロピンＢＳ皮下注１０ｍｇ「サンド」シュアパル,サンド,後発品,,,"36,592",,
注射薬,2412402A5028,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒,,,,サイゼン皮下注射液１２ｍｇ,メルクセローノ,,先発品,,"58,985",,
注射薬,2412402A5036,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒,,,,グロウジェクト皮下注１２ｍｇ,ＪＣＲファーマ,,先発品,,"98,486",,H28.12.9収載
注射薬,2412402A6024,ソマトロピン（遺伝子組換え）,６ｍｇ１筒,,,,グロウジェクト皮下注６ｍｇ,ＪＣＲファーマ,,先発品,,"49,243",,H28.12.9収載
注射薬,2412402D8074,ソマトロピン（遺伝子組換え）,１．３３ｍｇ１瓶（溶解液付）,,,,グロウジェクト注射用１．３３ｍｇ,ＪＣＲファーマ,,先発品,,"9,140",H29.3.31まで,
注射薬,2412402D8082,ソマトロピン（遺伝子組換え）,１．３３ｍｇ１瓶（溶解液付）,,,,サイゼン注用１．３３ｍｇ,メルクセローノ,,先発品,,"7,300",H30.3.31まで,
注射薬,2412402D9038,ソマトロピン（遺伝子組換え）,５．３３ｍｇ１筒（溶解液付）,,,,ジェノトロピンＴＣ注用５．３ｍｇ,ファイザー,,先発品,,"32,125",,
注射薬,2412402L1031,ソマトロピン（遺伝子組換え）,６ｍｇ１筒（溶解液付）,,,,ヒューマトロープ注射用６ｍｇ,日本イーライリリー,,先発品,,"44,507",,
注射薬,2412402L2038,ソマトロピン（遺伝子組換え）,８ｍｇ１筒（溶解液付）,,,,グロウジェクトＢＣ注射用８ｍｇ,ＪＣＲファーマ,,先発品,,"65,657",,
注射薬,2412402L3050,ソマトロピン（遺伝子組換え）,８ｍｇ１瓶（溶解液付）,,,,グロウジェクト注射用８ｍｇ,ＪＣＲファーマ,,先発品,,"68,657",,
注射薬,2412402L3069,ソマトロピン（遺伝子組換え）,８ｍｇ１瓶（溶解液付）,,,,サイゼン皮下注用８ｍｇ,メルクセローノ,,先発品,,"38,478",,
注射薬,2412402L4049,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒（溶解液付）,,,,ヒューマトロープ注射用１２ｍｇ,日本イーライリリー,,先発品,,"81,860",,
注射薬,2412402L4057,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒（溶解液付）,,,,ジェノトロピンＴＣ注用１２ｍｇ,ファイザー,,先発品,,"78,592",,
注射薬,2412402P4024,ソマトロピン（遺伝子組換え）,５．３３ｍｇ１キット,,,,ジェノトロピンゴークイック注用５．３ｍｇ,ファイザー,,先発品,,"37,306",,
注射薬,2412402P5020,ソマトロピン（遺伝子組換え）,１２ｍｇ１キット,,,,ジェノトロピンゴークイック注用１２ｍｇ,ファイザー,,先発品,,"92,353",,
注射薬,2412402P6027,ソマトロピン（遺伝子組換え）,５ｍｇ１キット,,,,ノルディトロピン　フレックスプロ注　５ｍｇ,ノボ　ノルディスク　ファーマ,,先発品,,"47,842",,
注射薬,2412402P7023,ソマトロピン（遺伝子組換え）,１０ｍｇ１キット,,,,ノルディトロピン　フレックスプロ注　１０ｍｇ,ノボ　ノルディスク　ファーマ,,先発品,,"90,097",,
注射薬,2412402P8020,ソマトロピン（遺伝子組換え）,１５ｍｇ１キット,,,,ノルディトロピン　フレックスプロ注　１５ｍｇ,ノボ　ノルディスク　ファーマ,,先発品,,"133,557",,
注射薬,2413400D1086,ヒト下垂体性性腺刺激ホルモン,７５単位１瓶（溶解液付）,,,,ＨＭＧ注射用７５ＩＵ「フェリング」,フェリング・ファーマ,後発品,,,"1,183",,
注射薬,2413400D2082,ヒト下垂体性性腺刺激ホルモン,１５０単位１瓶（溶解液付）,,,,ＨＭＧ注射用１５０ＩＵ「フェリング」,フェリング・ファーマ,後発品,,,"1,567",,
注射薬,2413400D3097,ヒト下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,,,,ＨＭＧ注テイゾー７５,あすか製薬,後発品,,,"1,183",,
注射薬,2413400D3119,ヒト下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,,,,ＨＭＧ筋注用７５単位「Ｆ」,富士製薬工業,後発品,,,"1,183",,
注射薬,2413400D3127,ヒト下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,,,,ＨＭＧ「ＴＹＫ」７５注用,武田テバ薬品,後発品,,,"1,183",H30.3.31まで,
注射薬,2413400D4077,ヒト下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,,,,ＨＭＧ注テイゾー１５０,あすか製薬,後発品,,,"1,567",,
注射薬,2413400D4093,ヒト下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,,,,ＨＭＧ筋注用１５０単位「Ｆ」,富士製薬工業,後発品,,,"1,567",,
注射薬,2413400D4107,ヒト下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,,,,ＨＭＧ「ＴＹＫ」１５０注用,武田テバ薬品,後発品,,,"1,567",H30.3.31まで,
注射薬,2413400D5049,ヒト下垂体性性腺刺激ホルモン,１００単位１管（溶解液付）,,,,ＨＭＧ「ＴＹＫ」１００注用,武田テバ薬品,後発品,,,"1,615",H30.3.31まで,
注射薬,2413402X1014,ヒト絨毛性性腺刺激ホルモン,５００単位１管,局,,,注射用ヒト絨毛性性腺刺激ホルモン,,,,,150,,
注射薬,2413402X2010,ヒト絨毛性性腺刺激ホルモン,１，０００単位１管,局,,,注射用ヒト絨毛性性腺刺激ホルモン,,,,,281,,
注射薬,2413402X3017,ヒト絨毛性性腺刺激ホルモン,３，０００単位１管,局,,,注射用ヒト絨毛性性腺刺激ホルモン,,,,,419,,
注射薬,2413402X3076,ヒト絨毛性性腺刺激ホルモン,３，０００単位１管,局,,,ＨＣＧモチダ筋注用３千単位,持田製薬,,,,419,,
注射薬,2413402X3084,ヒト絨毛性性腺刺激ホルモン,３，０００単位１管,局,,,ゴナトロピン筋注用３０００単位,あすか製薬,,,,419,,
注射薬,2413402X4013,ヒト絨毛性性腺刺激ホルモン,５，０００単位１管,局,,,注射用ヒト絨毛性性腺刺激ホルモン,,,,,573,,
注射薬,2413402X4110,ヒト絨毛性性腺刺激ホルモン,５，０００単位１管,局,,,ＨＣＧモチダ筋注用５千単位,持田製薬,,,,573,,
注射薬,2413402X4137,ヒト絨毛性性腺刺激ホルモン,５，０００単位１管,局,,,ゴナトロピン注用５０００単位,あすか製薬,,,,573,,
注射薬,2413402X5010,ヒト絨毛性性腺刺激ホルモン,１０，０００単位１管,局,,,注射用ヒト絨毛性性腺刺激ホルモン,,,,,"1,031",,
注射薬,2413402X5060,ヒト絨毛性性腺刺激ホルモン,１０，０００単位１管,局,,,ＨＣＧモチダ筋注用１万単位,持田製薬,,,,"1,031",,
注射薬,2413403A1040,ヒト下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,,,,フォリルモンＰ注７５,富士製薬工業,後発品,,,"1,403",,
注射薬,2413403A1059,ヒト下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,,,,ゴナピュール注用７５,あすか製薬,後発品,,,"1,403",,
注射薬,2413403D1020,ヒト下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,,,,フォリルモンＰ注１５０,富士製薬工業,後発品,,,"1,714",,
注射薬,2413403D1039,ヒト下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,,,,ゴナピュール注用１５０,あすか製薬,後発品,,,"1,714",,
注射薬,2413404D1025,ホリトロピンアルファ（遺伝子組換え）,７５国際単位１瓶（溶解液付）,,,,ゴナールエフ皮下注用７５,メルクセローノ,,先発品,,"3,806",,
注射薬,2413404D2021,ホリトロピンアルファ（遺伝子組換え）,１５０国際単位１瓶（溶解液付）,,,,ゴナールエフ皮下注用１５０,メルクセローノ,,先発品,,"5,723",,
注射薬,2413404G1021,ホリトロピンアルファ（遺伝子組換え）,４５０国際単位０．７５ｍＬ１筒,,,,ゴナールエフ皮下注ペン４５０,メルクセローノ,,先発品,,"25,028",,
注射薬,2413404G2028,ホリトロピンアルファ（遺伝子組換え）,９００国際単位１．５ｍＬ１筒,,,,ゴナールエフ皮下注ペン９００,メルクセローノ,,先発品,,"46,148",,
注射薬,2413404G3024,ホリトロピンアルファ（遺伝子組換え）,３００国際単位０．５ｍＬ１筒,,,,ゴナールエフ皮下注ペン３００,メルクセローノ,,先発品,,"16,646",,
注射薬,2413405A1023,フォリトロピンベータ（遺伝子組換え）,５０国際単位０．５ｍＬ１瓶,,,,フォリスチム注５０,ＭＳＤ,,先発品,,"3,031",,
注射薬,2413405A2020,フォリトロピンベータ（遺伝子組換え）,７５国際単位０．５ｍＬ１瓶,,,,フォリスチム注７５,ＭＳＤ,,先発品,,"3,739",,
注射薬,2413405G1026,フォリトロピンベータ（遺伝子組換え）,３００国際単位１筒,,,,フォリスチム注３００ＩＵカートリッジ,ＭＳＤ,,先発品,,"17,460",,
注射薬,2413405G2022,フォリトロピンベータ（遺伝子組換え）,６００国際単位１筒,,,,フォリスチム注６００ＩＵカートリッジ,ＭＳＤ,,先発品,,"34,508",,
注射薬,2413405G3029,フォリトロピンベータ（遺伝子組換え）,９００国際単位１筒,,,,フォリスチム注９００ＩＵカートリッジ,ＭＳＤ,,先発品,,"49,065",,
注射薬,2413406G1020,コリオゴナドトロピン　アルファ（遺伝子組換え）,２５０μｇ０．５ｍＬ１筒,,,,オビドレル皮下注シリンジ２５０μｇ,メルクセローノ,,先発品,,"2,910",,H29.2.15収載
注射薬,2414400A1010,オキシトシン,１単位１管,局,,,オキシトシン注射液,,,,,95,,
注射薬,2414400A2016,オキシトシン,５単位１管,局,,,オキシトシン注射液,,,,,128,,
注射薬,2414400A2075,オキシトシン,５単位１管,局,,,アトニン－Ｏ注５単位,あすか製薬,,,,157,,
注射薬,2414402A1019,バソプレシン,２０単位１管,局,,,バソプレシン注射液,,,,,720,,
注射薬,2419400A1024,デスモプレシン酢酸塩水和物,４μｇ１管,,,,デスモプレシン注４協和,協和発酵キリン,,先発品,,"1,765",,
注射薬,2432400A1034,チアマゾール,１０ｍｇ１管,,,,メルカゾール注１０ｍｇ,あすか製薬,,,,109,,
注射薬,2439400G1020,テリパラチド（遺伝子組換え）,６００μｇ１キット,,,,フォルテオ皮下注キット６００μｇ,日本イーライリリー,,先発品,,"43,334",,
注射薬,2439401D1028,テリパラチド酢酸塩,５６．５μｇ１瓶,,,,テリボン皮下注用５６．５μｇ,旭化成ファーマ,,先発品,,"10,837",,
注射薬,2439401D2024,テリパラチド酢酸塩,５６．５μｇ１瓶（溶解液付）,,,,テリボン皮下注用５６．５μｇ,旭化成ファーマ,,先発品,,"10,837",,
注射薬,2449403A2015,メテノロンエナント酸エステル,１００ｍｇ１管,局,,,メテノロンエナント酸エステル注射液,,,,,668,,
注射薬,2451400A1013,アドレナリン,０．１％１ｍＬ１管,局,,,アドレナリン注射液,,,,,92,,
注射薬,2451401A1018,ノルアドレナリン,０．１％１ｍＬ１管,局,,,ノルアドレナリン注射液,,,,,92,,
注射薬,2451402G1040,アドレナリン,０．１％１ｍＬ１筒,,,,アドレナリン注０．１％シリンジ「テルモ」,テルモ,後発品,,,159,,
注射薬,2451402G2020,アドレナリン,０．１５ｍｇ１筒,,,,エピペン注射液０．１５ｍｇ,ファイザー,,先発品,,"7,979",,
注射薬,2451402G3026,アドレナリン,０．３ｍｇ１筒,局,,,エピペン注射液０．３ｍｇ,ファイザー,,先発品,,"10,894",,
注射薬,2452400D1084,ヒドロコルチゾンコハク酸エステルナトリウム,１００ｍｇ１瓶（溶解液付）,,,,ソル・コーテフ注射用１００ｍｇ,ファイザー,,,,321,,
注射薬,2452400D1092,ヒドロコルチゾンコハク酸エステルナトリウム,１００ｍｇ１瓶（溶解液付）,,,,サクシゾン注射用１００ｍｇ,武田テバ薬品,後発品,,,302,,
注射薬,2452400D3052,ヒドロコルチゾンコハク酸エステルナトリウム,２５０ｍｇ１瓶（溶解液付）,,,,ソル・コーテフ静注用２５０ｍｇ,ファイザー,,,,893,,
注射薬,2452400D4032,ヒドロコルチゾンコハク酸エステルナトリウム,３００ｍｇ１瓶（溶解液付）,,,,サクシゾン注射用３００ｍｇ,武田テバ薬品,後発品,,,909,,
注射薬,2452400D6060,ヒドロコルチゾンコハク酸エステルナトリウム,５００ｍｇ１瓶（溶解液付）,,,,ソル・コーテフ静注用５００ｍｇ,ファイザー,,,,"1,291",,
注射薬,2452400D6078,ヒドロコルチゾンコハク酸エステルナトリウム,５００ｍｇ１瓶（溶解液付）,,,,サクシゾン静注用５００ｍｇ,武田テバ薬品,後発品,,,"1,202",,
注射薬,2452400D7040,ヒドロコルチゾンコハク酸エステルナトリウム,１ｇ１瓶（溶解液付）,,,,ソル・コーテフ静注用１０００ｍｇ,ファイザー,,,,"2,848",,
注射薬,2452400D7058,ヒドロコルチゾンコハク酸エステルナトリウム,１ｇ１瓶（溶解液付）,,,,サクシゾン静注用１０００ｍｇ,武田テバ薬品,後発品,,,"2,122",,
注射薬,2452402A1095,ヒドロコルチゾンリン酸エステルナトリウム,１００ｍｇ２ｍＬ１管,,,,ヒドロコルチゾンリン酸エステルＮａ静注液１００ｍｇ「ＡＦＰ」,共創未来ファーマ,後発品,,,205,,
注射薬,2452402A2040,ヒドロコルチゾンリン酸エステルナトリウム,１００ｍｇ２ｍＬ１瓶,,,,水溶性ハイドロコートン注射液１００ｍｇ,日医工,,先発品,○,403,,
注射薬,2452402A5090,ヒドロコルチゾンリン酸エステルナトリウム,５００ｍｇ１０ｍＬ１瓶,,,,水溶性ハイドロコートン注射液５００ｍｇ,日医工,,先発品,○,"1,688",,
注射薬,2452402A5112,ヒドロコルチゾンリン酸エステルナトリウム,５００ｍｇ１０ｍＬ１瓶,,,,ヒドロコルチゾンリン酸エステルＮａ静注液５００ｍｇ「ＡＦＰ」,共創未来ファーマ,後発品,,,763,,
注射薬,2454402A2037,トリアムシノロンアセトニド,１０ｍｇ１ｍＬバイアル,,,,ケナコルト－Ａ皮内用関節腔内用水懸注５０ｍｇ／５ｍＬ,ブリストル・マイヤーズ　スクイブ,,,,213,,
注射薬,2454402A3033,トリアムシノロンアセトニド,４０ｍｇ１瓶,,,,ケナコルト－Ａ筋注用関節腔内用水懸注４０ｍｇ／１ｍＬ,ブリストル・マイヤーズ　スクイブ,,,,836,,
注射薬,2454404A1013,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,,,,ベタメタゾンリン酸エステルナトリウム２ｍｇ注射液,,後発品,,,56,,
注射薬,2454404A1064,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,,,,リンデロン注２ｍｇ（０．４％）,塩野義製薬,,,,183,,
注射薬,2454404A1080,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,,,,リノロサール注射液２ｍｇ（０．４％）,わかもと製薬,後発品,,,65,,
注射薬,2454404A2010,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,,,,ベタメタゾンリン酸エステルナトリウム４ｍｇ注射液,,後発品,,,85,,
注射薬,2454404A2060,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,,,,リンデロン注４ｍｇ（０．４％）,塩野義製薬,,,,304,,
注射薬,2454404A2087,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,,,,リノロサール注射液４ｍｇ（０．４％）,わかもと製薬,後発品,,,95,,
注射薬,2454404A3016,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,,,,ベタメタゾンリン酸エステルナトリウム２０ｍｇ注射液,,後発品,,,262,,
注射薬,2454404A3067,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,,,,リンデロン注２０ｍｇ（０．４％）,塩野義製薬,,,,"1,361",,
注射薬,2454404A3083,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,,,,リノロサール注射液２０ｍｇ（０．４％）,わかもと製薬,後発品,,,449,,
注射薬,2454404A4039,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１ｍＬ１管,,,,リンデロン注２０ｍｇ（２％）,塩野義製薬,,先発品,,"1,399",,
